City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-03-11 19:57:37,-21.2,-175.2,75.36,88,75,5.75
1,Victoria,HK,2022-03-11 19:52:57,22.2855,114.1577,70.25,88,5,4.0
2,Nikolskoye,RU,2022-03-11 19:57:38,59.7035,30.7861,34.88,97,100,4.72
3,Santa Cecilia,BR,2022-03-11 19:57:38,-26.9608,-50.4269,63.27,99,100,4.61
4,Balangir,IN,2022-03-11 19:57:39,20.7167,83.4833,72.57,35,0,2.48
5,Khakhea,BW,2022-03-11 19:57:39,-24.6895,23.494,75.02,48,53,7.92
6,Puerto Ayora,EC,2022-03-11 19:57:40,-0.7393,-90.3518,85.96,87,99,4.0
7,Loudeac,FR,2022-03-11 19:56:30,48.1783,-2.7543,46.47,93,80,13.27
8,Santa Rosa,PH,2022-03-11 19:57:41,14.3122,121.1114,82.38,84,100,4.56
9,Saint-Philippe,RE,2022-03-11 19:57:41,-21.3585,55.7679,78.39,83,45,10.11
10,Dunyapur,PK,2022-03-11 19:57:41,29.7995,71.7196,71.47,34,5,6.02
11,Thompson,CA,2022-03-11 19:57:42,55.7435,-97.8558,-2.04,50,20,8.05
12,Longonjo,AO,2022-03-11 19:57:42,-12.9067,15.2533,66.18,90,100,1.34
13,Noshiro,JP,2022-03-11 19:57:43,40.2039,140.0242,40.5,63,60,13.87
14,East London,ZA,2022-03-11 19:55:33,-33.0153,27.9116,75.47,87,1,19.35
15,Kontagora,NG,2022-03-11 19:57:43,10.3999,5.4695,90.41,14,100,3.51
16,Ushuaia,AR,2022-03-11 19:56:04,-54.8,-68.3,53.22,50,20,20.71
17,Carnarvon,AU,2022-03-11 19:57:44,-24.8667,113.6333,73.47,88,75,0.0
18,Cape Town,ZA,2022-03-11 19:57:45,-33.9258,18.4232,77.41,69,0,2.3
19,Jamestown,US,2022-03-11 19:53:46,42.097,-79.2353,49.51,39,100,11.5
20,Mataura,NZ,2022-03-11 19:57:45,-46.1927,168.8643,55.47,93,100,11.48
21,Vila Franca Do Campo,PT,2022-03-11 19:57:46,37.7167,-25.4333,63.19,91,100,19.17
22,Port Alfred,ZA,2022-03-11 19:57:46,-33.5906,26.891,74.84,89,22,19.91
23,Krasnoselkup,RU,2022-03-11 19:57:47,65.7,82.4667,-22.36,100,100,6.4
24,Albany,US,2022-03-11 19:53:29,42.6001,-73.9662,50.59,63,99,1.99
25,Laguna,US,2022-03-11 19:57:48,38.421,-121.4238,69.08,33,0,6.91
26,Eureka,US,2022-03-11 19:57:48,40.8021,-124.1637,67.19,70,9,4.0
